global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18
916081.1546995188	n/a	839204681995.6038	n/a	1175151.0733710106	n/a	1380980045245.0383	n/a	907530.7794241912	n/a	n/a	823612115602.28	933261.0439722424	788338.7948336693	n/a	n/a	n/a	n/a	-0.0299447383	-0.0208120284	0.0029831054	0.0611445068	-0.17325808	0.0499122582	-0.0263795156	-0.0228071344	0.0620326812	-0.0078544585	0.0763228166	-0.0240079983	0.0968997509	-0.0521457409	0.0669374086	0.0443773455	-0.0009280332	0.1475364815	-0.0113093891	0.0940414698	-0.0545814691	0.0289059083	-0.0885727013	-0.0220041061	0.0224368801	-0.1141043633	0.0340279058	-0.0092853762	0.0150669004	-0.0057197616	0.0189100767	-0.1736623067	0.1807784898	-0.0076990902	-0.0085620948	0.0762973733	-0.0448949117	0.0414274466	-0.0473424472	0.0929887629	-0.0757072786	0.1628092153	-0.0397995481	0.0228556707	-0.0965912237	0.1727241853	-0.0698385212	0.0245081193	-0.0129534085	0.1599805702	-0.1178307992	0.0270387667	0.012074725	-0.1023867473	0.0753924669	-0.0977873115	-0.0001090677	0.0627316368	-5.01635e-05	0.0591349604	-0.0997391323	0.0896929399	-0.053692655	0.0393534812	-0.0461740718	0.0766650209	-0.0299122079	0.0391796375	-0.0854257214	0.0004930146	-0.0399859197	0.0685637016	-0.0138435483	0.1441134702	-0.0240194018	0.0668681388	-0.0786225996	-0.0111618479	-0.0076969475	0.047949453	0.1154637225	0.1154447293	0.1154130763	0.0078825794739145	n/a	n/a	6.21350591625782e-05	-0.1694421367437115	n/a	0.0287106377042746	n/a	-0.0022375977333979	n/a	5.00684361650742e-06	n/a	0.0001660001531883	n/a	2.755605085853907e-08	n/a	6.27811866937833e-08	n/a	n/a	3.941477402679673e-15	0.0007530000651436	n/a	n/a	5.670090981062659e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
910293.942292484	-5787.212407034822	828635061374.3922	33491827.44413777	1145726.3040890957	-29424.769281914923	1312688763881.659	865817047.2939241	902728.4411214388	-4802.338302752469	23062453.174083464	814918638409.543	926702.2256553882	776161.6116935484	1.098011	20.36734	0.1706009092057765	0.0974822879617274	-0.0476258171	-0.0255083257	0.0385161174	-0.0659223438	-0.0425037959	0.0329981566	-0.1106440503	0.0165576639	0.0197933602	-0.1477306038	-0.0032550705	0.0377879773	0.0638961028	-0.0850683569	-0.0889152327	0.021729348	0.114977676	0.09268731	0.1695674683	-0.0707447812	-0.0084497029	-0.1517518867	0.0319132583	-0.1655971054	-0.0256361492	-0.0446452689	0.0262390587	-0.0213654159	0.2391236776	-0.0644848791	-0.1207685346	0.047498153	0.0692121828	-0.0848619619	-0.0203215985	0.0524895123	0.1432433496	-0.0129803083	-0.0598424989	0.0553802551	-0.0966390281	-0.0632745736	0.0194530131	-0.0561887356	0.0464161157	0.1252160481	-0.0049710972	-0.1100697107	-0.1841334111	0.1317247419	0.0056520407	-0.0885207627	0.05255331	-0.0588479661	0.1719717722	-0.0104587059	-0.0025310265	0.0495617816	-0.0108374943	-0.0337152102	-0.1274577698	0.0969895045	-0.0246992014	-0.0911397159	-0.0133142129	0.0718953286	-0.0301144842	0.0182079541	-0.0490426685	0.0314010186	-0.0159820791	-0.051019215	-0.067382012	0.0802809821	-0.0431541392	0.0207854566	0.0705709724	0.1403713902	-0.04240138	-0.057897773	0.1154130763	0.1152422001	0.1149575937	0.0254659030983361	0.0175833236244216	0.0003091732696811	0.0006485122206138	-0.0873969529011162	0.0820451838425953	0.0076382273763999	0.0067314121917652	0.017692826884172	0.0199304246175699	0.0003130361231532	0.0003972218254366	-0.0007379563532615	-0.0009039565064498	5.445795793190119e-07	8.171373655529274e-07	-0.000116777804209	-0.0001168405853956	1.3651722395608412e-08	1.3637055555875537e-08	0.0007529576145653	-4.2450578300050515e-08	1.802051598008719e-15	5.669451693318669e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
914327.46308408	4033.5207915960345	835994709749.7698	16269289.976237502	1151549.3864029257	5823.082313830033	1326065989324.9546	33908287.63364013	905622.1707659344	2893.7296444956446	8373671.25543289	820151516182.8032	928890.0377018324	782368.0330225135	1.045897	19.400656	0.1024300962015679	0.0559060228011724	-0.0151083202	-0.0813854192	-0.006772411	-0.1412189387	-0.0692815317	0.0763087516	-0.0615095095	-0.0302484289	0.0002949883	-0.0770196505	-0.0094944845	-0.0048710232	0.0340963267	0.0234042753	-0.0264856855	-0.024689204	0.1601689962	-0.0999514392	-0.0370098649	-0.1071809966	0.1029850388	0.0389859363	0.0606345321	0.0032658495	0.0151114441	0.052819897	-0.0010997887	0.0216332801	0.0050466394	-0.0435152138	0.1076435051	-0.1618834759	-0.0940392296	-0.0693346946	0.0343450025	0.0330339979	0.1063126466	-0.0276322662	-0.0256727665	0.0422093522	0.0575940782	-0.0483016921	-0.0805118922	-0.0572089492	0.1888145892	-0.0961144764	-0.0391465895	-0.0672162809	0.04158481	0.0253465036	-0.0396205484	-0.0575716072	-0.0637962895	-0.0701897624	0.0626975051	0.1287608732	0.0044800602	0.0303706037	-0.0063647384	-0.0101747462	-0.1107647716	0.1313863265	0.0053861766	-0.0384953656	-0.0018092392	0.100871228	0.0374297851	-0.0140888639	-0.1102460509	0.0555458967	0.0233413442	-0.0514656136	-0.0068914448	-0.0202967468	0.0576737811	0.009386924	0.0913322338	0.1559239674	-0.0026109226	-0.0800487606	0.1153118061	0.1148374968	0.1140484259	0.0143067509033585	-0.0111591521949776	0.0001245266777106	0.0002046831214107	-0.1303759316197243	-0.0429789787186081	0.016997883545711	0.0018471926116945	-0.0028638635422169	-0.0205566904263889	8.201714388439131e-06	0.0004225775212863	-0.000233975065821	0.0005039812874405	5.4744331425941284e-08	2.53997138090184e-07	-6.608826137033397e-05	5.068954283866603e-05	2.5694297531929583e-09	4.3676582909535765e-09	0.000752992281518	3.4666952699984044e-08	1.201797609502931e-15	5.669973760256829e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
916450.3019943776	2122.838910297607	839881156025.5859	4506445.039073532	1150172.9433843086	-1376.4430186171085	1322897799693.324	1894595.3834997776	906585.4185176244	963.2477516899816	927846.2311358046	821897121068.7761	929466.2152802976	812412.68359375	1.03986	19.288673	0.1255875321882883	0.0587158510118079	0.0355150661	-0.0239408414	-0.0182420538	-0.1251292311	0.034175079	-0.0045434112	-0.0690844833	-0.0196107227	0.0101782039	0.0033641024	-0.027769526	0.0283125674	0.008594193	-0.1319819333	-0.0934842554	-0.0097314093	0.1291618714	-0.1367029007	0.0049175656	-0.1170894432	0.0988730255	0.0984618338	-0.0249534563	-0.0611094791	0.0464015767	-0.0282203479	0.004973954	0.0171194764	-0.0418942662	0.0343806978	0.0274477665	-0.0175593171	0.1191611736	-0.0842375832	0.0235560186	0.0246699377	0.0248021463	-0.0395154752	-0.0273751227	-0.0257390303	-0.0556854043	-0.1658076961	-0.068110657	-0.097043863	0.1974709632	-0.1351711128	0.0228325206	-0.0047207983	0.0605980345	0.0700300319	-0.0124007465	-0.072060191	-0.0569483153	0.0792393224	-0.0475550955	0.0005214724	-0.0044145398	0.0076549215	0.0005813242	-0.0223196991	-0.1316124789	0.0964571113	-0.0156887279	-0.0741181202	-0.0218896417	0.0650072679	0.0493939592	-0.0631403441	-0.0125351356	0.0514718418	0.0328025769	0.0450535161	-0.0141805375	-0.0171198755	-0.009017692	-0.035771774	0.0685516781	0.13360218	0.0255625076	-0.1299341762	0.1151599564	0.1142313295	0.112689161	0.0187985570624675	0.004491806159109	2.017632257100956e-05	0.0003533857476308	-0.0884441306478436	0.0419318009718807	0.0078223642460528	0.0017582759327454	0.0114687114924834	0.0143325750347003	0.0001315313432978	0.0002054227071253	-0.0006378847968659	-0.0004039097310449	4.068970140726505e-07	1.631430708327635e-07	-0.0005931236014098	-0.0005270353400394	2.777662496505156e-07	3.517956065493313e-07	0.0003873103521504	-0.0003656819293675	1.3372327346601034e-07	1.500093088828669e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
916478.3569367668	28.05494238913525	839932578733.5156	787.0797924576979	1148739.930319149	-1433.0130651595537	1319603427509.6433	2053526.4449179792	908294.834258812	1709.4157411876367	2922102.1762200776	824999505941.2428	930651.3321843252	817127.562609207	1.002425	18.594292	0.0620810157616585	0.0318509287624953	0.0343222714	0.003343188	-0.0100025331	-0.0706019834	0.0883499032	-0.0817079138	-0.0420896719	-0.0187568429	-0.0194648044	0.0412361984	0.050185617	-0.0356247548	-0.0757528124	0.0118269697	-0.006799386	0.0415773788	0.0942176222	-0.10876159	-0.0909588168	-0.107748372	-0.0489582556	0.0529465337	0.0382439874	0.025527327	0.0330115565	0.0091044848	-0.0047421078	0.137065421	-0.01468972	0.1292407423	0.0377089564	0.0647485559	0.0559612867	-0.0662174095	0.0249748749	-0.0049984446	-0.0347534516	0.0377318633	-0.0021277762	-0.0482823799	0.0586613162	-0.0728302713	-0.0708540109	-0.0455096445	0.1655175968	-0.0923853979	0.0345418129	0.0698354791	0.0426110821	0.0120780735	-0.0537553222	-0.0734038615	-0.0662634378	-0.0719209884	0.0020688342	-0.0705253435	0.0063487985	0.00418179	0.005233226	-0.0063248984	-0.1143538772	0.037918479	-0.0424101537	-0.034563015	-0.010559021	0.0393270931	0.0104261808	-0.0519244555	-0.1161947698	0.0757396055	-0.0133594716	0.0019996984	0.0701435549	-0.0065109105	0.01504418	0.0580956868	0.0538518211	0.0966394365	0.0254993265	-0.1074193387	0.1149575937	0.1134247617	0.1108851636	3.067160028535909e-05	-0.0187678854621821	0.0003522335247215	9.407470640648398e-10	-0.0993548076526167	-0.0109106770047731	0.0098713778036884	0.0001190428727024	0.0002388059811551	-0.0112299055113283	5.702829663544999e-08	0.0001261107777933	-0.000296907943002	0.0003409768538639	8.81543266176789e-08	1.1626521487092343e-07	-0.000582046550521	1.1077050888799972e-05	1.2270105639306422e-10	3.38778186973395e-07	0.0003159133012356	-7.13970509148e-05	5.097538879330543e-09	9.980121389757497e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
913955.7621326942	-2522.59480407252	835315135135.554	6363484.545533675	1154412.6328457447	5672.702526595676	1332668526873.8442	32179553.95524497	905679.0165228152	-2615.817735996796	6842502.427955403	820254480969.7338	929111.4168745464	812881.6445144489	1.079689	20.027483	0.1616778205233985	0.0938572167821941	0.0069970545	0.0301821847	0.0080517368	-0.0059377888	0.0508324625	-0.1379710866	-0.0717781563	-0.0021875177	0.0202460247	-0.0191450988	-0.0478420653	-0.0013823987	-0.1143428315	-0.1120521436	-0.1347565436	-0.0220046054	0.1144237692	0.0308395463	0.040968139	-0.0256203068	0.0615181402	0.0959588683	-0.0240769105	0.0260887558	-0.0215923668	-0.0626214388	0.0137368498	0.1184674319	-0.0035014247	-0.0319796308	-0.0122687901	-0.0772526687	-0.0313224467	-0.0675368532	-0.0040459684	0.0256723568	0.0008898265	0.0392173218	0.0534144619	-0.0955208191	-0.1400656183	-0.1454517486	0.0763027364	-0.0442003614	0.0832571923	0.05519433	0.0540561055	-0.0297968758	0.0449637367	0.0554271055	-0.0513766184	-0.0234800559	-0.0742496228	0.0334082537	0.0133878858	-0.0360828976	0.0043390929	0.0108363978	-0.0153892078	-0.0515097879	-0.0892642929	-0.0388429831	-0.0426121638	-0.0970954333	-0.0163676918	0.0138625057	0.0037250121	-0.0317109308	-0.0172425863	0.0062288587	-0.0657991506	0.0368183324	0.0149431213	0.0486806164	-0.1528123277	-0.0321184282	-0.0255242231	-0.0193292805	0.1374387833	-0.1148865179	0.1147048067	0.1124192083	0.108643553	0.0039311667632091	0.0039004951629237	1.52138625159915e-05	1.5454072120159913e-05	-0.0141535498037654	0.0852012578488513	0.0002003229720476	0.0072592543390264	0.0178613528281061	0.017622546846951	0.00031902792485	0.0003105541573729	-0.0006669997018961	-0.0003700917588941	4.4488860232948636e-07	1.3696791000132865e-07	-1.541924683490237e-07	0.0005818923580526	3.385987163600746e-07	2.3775317295564675e-14	0.0004629995975823	0.0001470862963467	2.1634378572989253e-08	2.1436862736137179e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
914091.6731820812	135.91104938695207	835563586980.8168	18471.813345462524	1155996.8530917554	1584.2202460106928	1336328724358.0415	2509753.78787018	908710.6979267262	3031.681403910974	9191092.134819614	825755132526.4778	932659.4307533564	800236.7616179435	0.981279	18.202042	0.1563215729737833	0.0938086181284302	-0.0106732474	-0.0034397061	0.0117774746	0.0160218401	0.0026308379	-0.1162992993	-0.0243866367	-0.0249169593	0.0212099003	0.0272776463	0.0716029907	-0.0543339254	-0.0097957704	-0.0177694577	0.089916238	0.0397177219	0.1702268562	-0.0069343614	0.0912229477	-0.0280283293	-0.0562382719	0.05731066	0.0897962294	0.0533505082	0.0883650663	-0.0078798941	0.0477381377	-0.0387925798	0.0902187401	0.0144030435	0.0755642015	0.0810580565	0.0859025916	-0.0218159159	0.0121258468	0.0355674504	-0.0506393459	0.0724149017	0.0089693104	0.0150341325	-0.0196951714	0.0606044467	-0.0313862362	-0.0842619227	0.1300573944	0.0891874436	0.1032285409	-0.0141872405	-0.0287621428	-0.0694900127	-0.0870147184	-0.0244687782	-0.0798760092	-0.0660433385	0.0317240591	-0.0315978351	0.0066707187	0.0211630915	0.0007982455	0.0597626613	-0.0882135283	0.0416579561	-0.0235041997	-0.0310408802	-0.0385689015	0.0738698966	-0.0808343543	-0.0008235166	-0.0677094742	0.0646340413	-0.0340662995	0.0225406608	0.0140514899	0.0864662036	0.0152721112	0.0676031636	-0.0092530841	0.0224734051	0.025953307	-0.0281148226	0.1144017065	0.1112164334	0.105973176	-2.356663813429805e-05	-0.0039547334013433	1.5639916275701123e-05	5.55386432952951e-10	-0.0995815642379653	-0.0854280144341999	0.00991648793608	0.0072979456501698	0.0026533696877208	-0.0152079831403853	7.040370699715576e-06	0.0002312827511982	-4.535529811754591e-06	0.0006624641720843	2.057103067331464e-11	4.388587792953973e-07	0.0002249992672309	0.0002251534596992	5.069408041454136e-08	5.062467025444195e-08	0.0003160003894088	-0.0001469992081735	2.1608767203635992e-08	9.985624610651325e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
912998.5578449792	-1093.1153371019757	833566366627.0118	1194901.1402075654	1153899.1523603722	-2097.700731383171	1331483253817.9856	4400348.358445491	907069.7177541044	-1640.9801726217847	2692815.9269378223	822775472866.5106	931075.9326015963	798373.0112693212	0.870274	16.142977	0.1016735207802857	0.0591410140547114	-0.0212634057	0.0118515995	0.0339565726	0.0284814485	0.0066772403	-0.1240849197	-0.0372541035	-0.0103876289	0.0429174564	-0.0185003639	-0.0031233378	-0.0460392019	-0.0066413266	-0.0289715961	0.0044579571	0.0283884316	0.0836629306	0.0692170782	0.1227831807	-0.0265734714	-0.0063969256	0.0878593627	-0.0779230243	-0.0151425642	0.0542716855	0.0116667198	-0.0250010996	-0.0632565378	0.1551353025	0.0701036951	0.1299271998	0.1259938161	-0.0341710115	-0.0295960718	-0.0031733394	0.0429193138	-0.0073933042	0.0466723866	0.028172498	0.0105433129	-0.0807312254	-0.0034189812	0.0392253915	-0.0485337187	0.0354325873	0.1075242621	0.1173094594	-0.044512308	-0.0173884482	0.0203218532	-0.0621601529	-0.0038678126	0.0533418215	0.008112724	0.0448188928	-0.0221997648	0.0045307185	0.026328746	-0.0103590755	0.0183374166	-0.0695775849	0.0163272486	-0.0409852026	-0.0611099474	-0.0327002463	0.0658449166	-0.0172708326	-0.0045928	-0.0978475696	-0.0603370655	-0.0242187062	-0.0487281792	0.0108826751	0.1215541822	-0.1046200671	0.0127343175	-0.0767621142	-0.070347059	0.0538288066	-0.0495716705	0.1140484259	0.1098185471	0.1028845713	-6.723091999560893e-06	1.6843546134737156e-05	2.83705046393019e-10	4.5199966034559686e-11	-0.0502211593441046	0.0493604048938607	0.0025221648458659	0.0024364495712858	0.0177223114793747	0.0150689417916539	0.0003140803241719	0.0002270730067202	-0.0005239995991091	-0.0005194640692973	2.745755798664976e-07	2.698429192909574e-07	-8.278592478205837e-08	-0.0002250820531556	5.0661930652777294e-08	6.853509342020627e-15	0.0003159999008891	-4.885197000072983e-10	2.3865149729522082e-19	9.985593736192103e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
913905.551713264	906.9938682847423	835223357452.3254	822637.8771061206	1152668.5344414893	-1230.617918882985	1328644750291.4907	1514420.4622758883	906796.8726913328	-272.84506277157925	74444.42827882702	822280568322.7812	931371.08449746	786389.2392683132	0.942115	17.475571	0.1043853206127442	0.0532817672994639	-0.0267497395	-0.0303700351	0.0155363422	0.0026732765	-0.0208922388	-0.0930993576	-0.04116735	-0.015751396	0.0572309288	-0.0420190639	0.0526171227	-0.013258162	0.1123180738	0.0302341188	0.0464806093	0.0287272352	0.083086259	0.0433286301	0.0478280212	0.0050935206	0.0151420182	0.0417451799	-0.0161690325	0.0139443681	0.0790587544	-0.0042685708	0.0065273926	0.0064170693	0.0230593246	0.0252414527	-0.0983123073	-0.0674828847	-0.0016559459	-0.027054064	0.0112969796	0.062053187	0.0112940926	0.0204433	-0.0644216355	0.0904864322	-0.01426772	0.0838333619	0.0290460361	-0.0679298659	0.0432430164	0.0880785418	0.0621839475	-0.0316248367	-0.0279652245	0.004643701	-0.0801280633	-0.0426643477	-0.0081362585	-0.0542226861	-0.057650887	-0.0100519905	0.0095560597	0.0310760434	0.0105310599	0.083344376	-0.0406036833	0.0693138049	0.0132915539	-0.019706215	-0.0404303072	0.0675194379	-0.0795245669	0.0040735684	0.0126628076	0.0810624277	-0.0257094582	0.017898072	0.0031459716	0.0928211977	-0.0220676017	0.0371179137	-0.0402655237	-0.0088549944	0.0066654476	0.034419043	0.1136451198	0.1082280018	0.0993899282	-3.293836364548497e-05	-2.621527164592408e-05	6.872404674695907e-10	1.0849357996422058e-09	-0.0805265390854543	-0.0303053797413497	0.0064845234970812	0.0009184160412674	0.0175245986391701	-0.0001977128402045	0.000307111557464	3.9090367181769514e-08	9.202171131688902e-05	0.0006160213104259	8.467995353688861e-09	3.794822548989528e-07	0.0004479956264873	0.000448078412412	2.007742636697319e-07	2.007000813517484e-07	-9.702063146371002e-05	-0.0004130205323528	1.7058596014499857e-07	9.41300292961704e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
914099.3963178744	193.84460461046547	835577706348.7025	37575.73073658769	1159353.9047207446	6685.370279255323	1344101476391.2373	44694175.7707504	908464.6280631338	1667.755371800973	2781407.980171002	825307980441.8881	932016.8265715712	808325.5635584678	1.122689	20.825094	0.1042041497569096	0.0509033533476491	0.0001643425	0.0340780602	-0.0083881517	0.0838974586	-0.0105413752	-0.0646495769	0.0142198047	0.0212310939	0.052463977	-0.0234291458	0.0172695222	-0.0049216433	0.1021296836	-0.0629704057	0.0305616358	-0.0112162772	-0.030918622	0.0481214407	0.0285502417	0.0399748665	0.0047779766	-0.0339764361	-0.0266927471	-0.1256804205	0.0597080458	-0.0222664228	0.0286378255	0.0714931598	-0.1482769653	-0.0881246718	0.1231361922	0.0162371096	-0.0205355255	0.0202284793	-0.0182314009	0.0293771903	-0.0176800692	0.0002887839	-0.0526700782	0.0774046225	-0.1276378459	0.0366794899	0.0453672395	0.0172302846	-0.0466252849	0.0767305884	0.0190167499	-0.0112366772	0.0318978304	0.0418256292	0.0986575071	-0.1251751056	0.0299738159	0.1613523344	-0.0915554083	0.0401805142	-0.0013878513	0.0209847874	0.0060282183	0.0231556415	-0.0069225972	-0.0056214314	-0.0743920308	-0.0419172474	0.0101067055	-0.0058439962	-0.0260291309	-0.0180125413	-0.0023270683	-0.0686626655	0.0135291222	0.0421831454	-0.0398995223	0.0597884674	-0.0190992347	-0.0116551725	-0.0429819533	-0.050887654	-0.0391516013	0.1951182271	0.1131919653	0.1064475877	0.0955030384	0.0111141547541677	0.0111470931178131	0.0001242576849771	0.0001235244358995	-0.0398754166877779	0.0406511223976764	0.0015900488560239	0.0016525137521908	0.0014221367519553	-0.0161024618872148	2.0224729412619705e-06	0.0002592892788292	-4.702142639880599e-05	-0.0001390431377156	2.211014540578329e-09	1.9332994145825728e-08	0.0001869943896442	-0.0002610012368431	6.812164563362797e-08	3.4966901758406894e-08	0.0002290044410616	0.0003260250725253	1.0629234791513365e-07	5.2443034025935824e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
