global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
980570.8738996153	n/a	961519238740.2552	n/a	1540916.807238924	n/a	n/a	2374424606831.3994	945655.4458352968	n/a	n/a	894264222237.9539	1020896.853036893	1067832.0151934957	n/a	n/a	n/a	n/a	-0.0729392238	0.1483337732	-0.1496624949	-0.3405676476	0.3571270029	-0.3542803112	0.1824952448	-0.2976688172	-0.1127404845	-0.01280178	0.2109116793	-0.1456959154	0.0152093185	-0.0516505435	0.0392661367	-0.112834431	0.0142828252	-0.2146509657	0.0951064631	-0.0845899638	0.0770774839	-0.231813499	0.0359700425	-0.0963139439	-0.0273070693	0.0772035978	-0.135828461	0.0360250097	-0.1987331372	0.0667823921	-0.2074091158	0.1038254673	-0.1384244959	0.0205370365	-0.1556138478	0.017872945	-0.1031340396	0.0488528548	-0.0317143356	-0.1544398825	0.0604391708	-0.0083125584	-0.0341260638	-0.1922649965	0.0934835848	0.2755891091	-0.1400276756	0.1056356924	-0.1112296092	0.133297835	-0.2057566164	-0.3430190355	0.1867304518	-0.0068065916	0.2761632034	-0.3675008746	0.1405533574	-0.020404455	0.0363511774	-0.2672484565	0.1047168955	-0.1557886806	-0.0943967468	0.2045135279	-0.1504515047	0.0052977435	-0.018106211	0.0047171994	-0.0415653345	-0.0084296977	0.1089085447	-0.0493015868	0.090289652	-0.0925231885	0.1647132186	-0.1236823637	0.1681936645	-0.1220386955	0.0311384608	-0.1353369903	0.1369629719	-0.0832393906	0.1365109715	-0.0852737447	0.067977528	-0.1436651544	0.1241050548	-0.0504953622	0.0141585191	-0.0635649691	-0.1195176605	0.0533239636	0.1067170757	0.1154637225	0.1154447293	0.1154130763	7.200457149281192e-05	n/a	n/a	5.184658315863463e-09	-0.1028396336343888	n/a	n/a	0.0105759902460553	-0.0343628478298612	n/a	0.0011808053109781	n/a	0.0013867333161168	n/a	1.923029290028297e-06	n/a	-0.0004167354500201	n/a	1.736684353034553e-07	n/a	0.0011027901180537	n/a	n/a	1.2161460444768936e-06	0.0	0.0	0.0	0.0	0.0
974511.02066943	-6059.853230185225	949671729406.1744	36721821.1713863	1493065.6996835442	-47851.10755537986	2289728494.276531	2229245183571.512	939963.2638430726	-5692.181992224185	32400935.83260129	883530937374.5217	1004805.4402297914	1052464.9190399407	1.420511	29.846479	0.0690452224361217	0.0376978716880441	-0.0738301654	-0.0640799859	0.1076002246	-0.1020740175	-0.0576932853	-0.0170647639	0.1298008613	-0.0226413937	0.0030917195	-0.1194740867	-0.1106166322	0.0903672026	-0.0298576037	-0.0908421563	0.0449274842	-0.0639140934	0.0830220423	0.0640533976	-0.2174708831	0.0274771222	0.141012684	-0.0395140982	-0.0626444786	0.1071809977	0.1703856393	0.1105089181	0.0063025197	0.0690253465	-0.0943315446	-0.1691755038	0.0185651934	-0.0648835122	-0.0150061364	0.0358676856	-0.0422961162	-0.0514755625	-0.0264208168	0.1885456723	-0.0462077798	0.0797010206	0.0725307804	0.0438170847	-0.0170514552	0.005865468	0.0942804526	-0.0901631926	0.0846479863	-0.0290803118	-0.0108192555	-0.102159805	-0.0116973467	0.0091246387	0.1403687584	0.0321407459	0.0703172866	-0.3137938144	0.0553137677	0.1008114692	0.0889377782	0.0759138351	-0.1821558872	-0.0885989758	0.0959691532	-0.2028218822	-0.0579901471	0.0403137381	0.0266612389	0.0631240247	0.0765406469	0.0904718619	-0.0015930481	0.0774999133	-0.0897701401	-0.0072098906	0.0314231119	-0.1571332349	0.0435743151	-0.0387643874	0.0074259242	-0.1770518745	0.1143731898	0.060893225	0.1167499455	-0.0753714262	0.0836944784	-0.0755675514	0.1083057635	-0.082013431	0.1552913702	-0.0381705993	-0.1294337627	-0.0603098623	0.0409466112	0.1154130763	0.1152422001	0.1149575937	-0.0002933283899295	-0.0003653329614223	1.334681727015965e-07	8.604154433863281e-08	-0.0725953983353235	0.0302442352990653	0.0009147137688252	0.0052700918594642	-0.0311033021348521	0.0032595456950091	0.0009674154036918	1.0624638137852366e-05	0.0010061630856255	-0.0003805702304913	1.0123641548754272e-06	1.4483370033620128e-07	-0.0004171072268861	-3.717768660000103e-07	1.7397843872061256e-07	1.382180380927896e-13	0.0007802099557985	-0.0003225801622552	1.0405796108059117e-07	6.087275751270974e-07	0.0	0.0	0.0	0.0	0.0
972818.768535894	-1692.252133536036	946376356415.6932	2863717.283457266	1464703.0367879746	-28362.662895569578	804440646.5277193	2145354985975.915	941228.0474787937	1264.7836357210765	1599677.6451878245	885910237360.7422	1004862.440250163	1015111.7709393168	1.313452	27.597057	0.0623648085565015	0.0396418285430743	0.110788371	0.0535621053	0.0927545514	0.099831977	0.0433738649	-0.1542362058	-0.0215232383	0.0355840824	-0.0458193992	0.1194120453	0.1029358258	0.0321183737	-0.1248413625	0.0588697097	0.130872047	-0.1447838967	-0.0520789342	0.2330019073	-0.0967925985	-0.1683573738	0.0346074518	-0.1498910466	0.0631397241	-0.1003168815	0.1463227217	0.0259341041	0.072967571	-0.081071857	0.0828654888	-0.0811355763	-0.0144434976	-0.0049075381	0.0367378306	-0.0319388487	-0.0203531046	0.0328611474	-0.1235662921	0.0679758045	0.0747102492	0.0677995895	0.0138279954	0.0677412718	-0.0804457985	-0.0095454595	-0.1315968694	0.1346894606	0.0132189208	-0.0827629345	0.0481286209	0.0237960379	0.0318555802	0.2397006397	0.0560212905	0.0703437258	-0.0136894663	-0.2332815619	-0.0915323536	-0.104219717	-0.0446826701	-0.1397322103	0.0756553032	-0.0348411263	0.1111762671	-0.1717732054	-0.0249720403	0.1425900439	0.0675503406	-0.0818654356	0.0381675291	0.0270979117	0.0957358154	-0.1349974782	0.0192488168	0.0600048413	0.0759485707	-0.1772846769	-0.0221257492	0.0924130285	-0.0498092097	0.0106558384	0.1560109547	-0.1020926926	0.0026960285	-0.1550504423	-0.0604368709	-0.0125843661	-0.0291397696	0.0447054511	0.0288218676	0.0292449751	-0.0474042582	0.1153458414	0.0475475039	0.1153118061	0.1148374968	0.1140484259	0.0110252399893795	0.011318568379309	0.000128109990157	0.0001215559168234	-0.1037494431014209	-0.0311540447660974	0.000970574505288	0.0107639469438549	-0.0344606645460672	-0.003357362411215	0.0011875374009565	1.1271882360240064e-05	0.0006761633732045	-0.000329999712421	4.5719690726328806e-07	1.088998101979427e-07	-0.000417736028444	-6.288015578999914e-07	1.745033894601664e-07	3.953913992174562e-13	0.0007801418097798	-6.814601870004743e-08	4.643879864667213e-15	6.086212433665017e-07	0.0	0.0	0.0	0.0	0.0
974735.664911973	1916.8963760790648	950109616451.3862	3674491.716625052	1488737.4963607595	24034.459572784835	577655246.9558287	2216339333070.5024	940626.3194215364	-601.728057257249	362076.65489058313	884777872788.5062	1006031.171778235	1048988.1738659765	1.25471	26.362825	0.0869641851126258	0.0473093106417668	-0.0863705867	-0.0185285979	0.0704846756	-0.1171320429	-0.0389275362	0.1212094118	-0.1048827565	0.1809289274	-0.0260115757	-0.1288511037	-0.062861782	0.0083186555	-0.1710694583	-0.0018282102	0.1271044313	0.1062810612	-0.0263796465	0.1043251289	-0.0561328479	-0.0883432857	0.0114061764	0.0155634119	0.0430026043	-0.0877069925	-0.0133976209	0.106047359	0.0566543937	0.0777249373	-0.1718313153	-0.0404868741	0.0166723679	0.0171768008	0.03689027	0.0669760806	0.1226495697	0.0611301448	0.0346262171	-0.1024519411	-0.0121091586	0.1397662688	-0.0040561266	-0.0637906584	-0.0248591142	-0.0221895509	0.1237236206	-0.0364293769	0.0495105437	-0.1943391248	-0.0477432932	0.0260036291	0.1497837447	0.0498682641	0.0120429841	0.0681758713	-0.0297225789	-0.0275262748	-0.0713228742	-0.0293908414	0.0233127111	-0.0374780491	0.0340119312	0.0578127998	0.0936259306	0.0413506208	-0.177737439	-0.0779023012	-0.0924872719	0.1318299507	0.0657963769	-0.0125721838	0.0549531223	0.0528946542	-0.0730222471	-0.0695651856	0.0403327699	-0.1988552487	0.1110923409	-0.0689132294	0.015023099	-0.0316397978	0.1631840753	0.0854979	-0.0966071295	-0.0505154149	0.0209514543	-0.0431558409	0.0325822194	0.0665184911	0.0384419362	0.0251148116	-0.064392492	-0.0352981374	0.06243808	0.1151599564	0.1142313295	0.112689161	-0.0002583022646689	-0.0112835422540484	0.0001273183257988	6.672005993308246e-08	-0.0593111173072031	0.0444383257942177	0.001974764799393	0.0035178086362288	-0.0421503638603368	-0.0076896993142695	0.0017766531735587	5.913147554387832e-05	0.0002681761248545	-0.0004079872483499	7.19184339419764e-08	1.6645359481620457e-07	-0.0004178871355047	-1.5110706069997861e-07	1.746296580203235e-07	2.2833343793387023e-14	0.0008430558093709	6.291399959110005e-05	3.9581713445489375e-09	7.107430977140233e-07	0.0	0.0	0.0	0.0	0.0
973073.9277052898	-1661.737206683261	946872868779.7996	2761370.544075488	1454692.044106013	-34045.452254746575	1159092819.230229	2116128943185.3303	939798.9667177192	-827.3527038171887	684512.4965136128	883222097843.6927	1001356.6511621984	1011965.3768698522	1.166196	24.503044	0.0436295362145267	0.0217410984696229	0.1021613169	-0.0343191864	0.0594669008	0.1298957158	-0.04048736	0.0232756046	-0.0592320928	0.0367782517	0.0335876139	0.0877640387	-0.0861017436	0.0429406495	-0.0273933243	-0.1758278768	0.0292296911	0.0127084901	0.0721292293	0.0509734721	-0.0256540422	0.0315338932	-0.1929982317	-0.1196143538	0.0714280634	0.0198511829	0.0154865126	-0.0715177159	-0.0747444991	0.064620688	-0.1235999402	-0.0948708508	0.0016152135	-0.1448795441	0.0578548219	0.0200938466	-0.0857512599	-0.0105524775	-0.0310481553	0.1284235953	-0.0396971647	0.0421061859	0.1286321998	0.0742561412	0.0051861902	0.0470864346	-0.1143786204	-0.0640560307	0.0256951192	-0.0245244737	-0.1158618684	-0.1485045749	0.0651376795	0.0308673712	0.0762219543	0.151443813	-0.0606535861	0.0121266498	0.1918846198	0.0858340593	-0.0279596997	-0.0314007683	0.0927820477	-0.0576674192	-0.0066908011	-0.0913496753	0.0028358184	-0.0625138528	-0.0990061394	-0.0485702696	0.1232413911	0.0696060084	-0.002887244	-0.0450851208	-0.0130277748	0.0416855116	0.104685836	-0.0713046325	0.0017610591	-0.0388021384	-0.2501473719	-0.1286930009	0.1244834262	-0.0576532888	-0.0452846504	0.014726641	0.0396603491	0.0301708301	-0.1239205622	0.0513476981	0.0021795962	0.0899397252	0.0473853711	0.1171135398	-0.0224846342	0.1149575937	0.1134247617	0.1108851636	0.0113762172069584	0.0116345194716272	0.0001353620433356	0.0001294183179398	-0.0571603377530749	0.0021507795541282	4.6258526904559e-06	0.0032673042120456	-0.0256568834267056	0.0164934804336311	0.0006582756671715	0.0002720348968145	0.0004721630600879	0.0002039869352333	2.2293795531156985e-07	4.161066974591531e-08	-0.0004178159527945	7.118271019997646e-08	1.7457017040957586e-07	5.066978231413831e-15	0.0007800987922117	-6.295701715920005e-05	3.963586009583809e-09	6.085541256101531e-07	0.0	0.0	0.0	0.0	0.0
976586.904675828	3512.976970538148	953721982384.3148	12341007.19553138	1493962.4551424051	39270.41103639221	1542165182.967195	2231923817375.123	941168.1865280396	1369.2198103204137	1874762.8889738696	885797555332.4788	1007189.1349107724	1047731.5364394076	1.166097	24.500961	0.0314239095372532	0.0157836547297475	-0.0761267688	0.0214970831	0.036249502	-0.1370416154	-0.000671716	0.0318562206	-0.1801217308	0.1586205387	-0.0204888908	-0.1108470477	0.0259003885	0.0217965008	-0.1577421251	-0.0879441046	0.1562762488	0.0079891823	-0.044747646	0.0629854248	0.1393784833	0.0421467574	0.044299055	0.0377955289	-0.0549686772	-0.0902105341	-0.0105551164	-0.1201128897	-0.12342227	-0.0167319171	-0.1136500949	-0.0859199256	-0.0302403976	-0.0921154486	0.0285253449	-0.1317391475	-0.0261730315	-0.12366615	-0.0909798756	-0.095373695	-0.1008453327	-0.0572869782	-0.204613439	-0.0001020988	-0.0894799493	-0.0185352323	0.1246340116	0.0602918386	0.0492673615	-0.1247753087	-0.1205286747	0.0411575972	0.1255015643	0.1190220114	-0.0218229428	-0.0407135391	0.0347252523	0.1164293955	-0.0119552375	-0.1128881552	0.0143783722	0.0366272207	0.1026663469	-0.1244121601	0.0360954451	0.0713066732	-0.0353175533	-0.0769163138	-0.0759591718	-0.0741131758	0.0569532794	-0.0009037883	0.0571736634	0.0150365266	-0.0379956388	-0.0544639618	0.0813391319	-0.1771232065	0.0771060627	0.0030756692	0.0115856921	0.0364746056	0.1382733763	-0.0305374174	-0.1673894085	0.0535384987	0.022875613	-0.0033201647	0.0663123049	0.1006797098	0.0591749472	-0.0456325922	-0.0082706043	-0.106672891	0.1406189153	0.1147048067	0.1124192083	0.108643553	-0.000202135602791	-0.0115783528097494	0.000134058253787	4.0858801915680926e-08	-0.0526597513652404	0.0045005863878345	2.0255277834361205e-05	0.0027730494138489	-0.0346489711025199	-0.0089920876758143	0.0012005511984632	8.085764076953147e-05	0.0004721899945253	2.6934437399991823e-08	2.2296339092980286e-07	7.254639180540781e-16	-0.0004177855148357	3.043795880001542e-08	1.745447364065309e-07	9.264693359114362e-16	0.0009070990730926	0.0001270002808808	1.6129071343827486e-08	8.22828728405454e-07	0.0	0.0	0.0	0.0	0.0
975817.2431836232	-769.6614922047593	952219292094.4865	592378.8125828567	1466617.2867484177	-27345.168393987464	747758234.495531	2150966265789.2903	942704.4804429784	1536.2939149388112	2360198.9930780195	888691737447.2659	1004628.4210346724	1030709.996453337	1.195632	25.121536	0.0761553155897114	0.0365616750769001	0.0533692395	-0.0987577366	-0.066664477	0.0831299009	-0.040650262	0.0293764465	0.0262396061	-0.0002566461	0.056274594	0.0522983998	-0.0886961255	-0.0135121731	0.0713997859	-0.1055083829	0.0372099888	0.0320738844	0.0343480782	0.0417516366	-0.0318535514	-0.0440240497	-0.1166405156	-0.2487851557	0.2082893374	0.1757853745	-0.1391075574	-0.0076319048	-0.1897795792	0.0118887343	0.0478439525	-0.0929364675	-0.0433973781	-0.0214264204	-0.0512617091	-0.1004786418	-0.0015932241	-0.0622354176	-0.0393463039	0.003241327	-0.0502917993	0.1047414161	-0.0038042046	-0.137199768	0.0021604416	0.0594590098	-0.0699748323	-0.0765947929	-0.0086120405	0.041581108	-0.1018972463	-0.0518424212	0.0471553855	-0.0253197009	0.0634640137	0.1548407651	-0.0203064668	-0.029392634	0.0816641576	0.0703361676	-0.1304973599	-0.0337654123	0.1971724094	0.1912438625	0.0440029761	-0.0047353776	0.251813193	-0.0131777952	-0.1664048834	0.0678556282	0.0781241129	0.0817011647	0.0052743136	-0.021988998	-0.0501173847	-0.0065280314	0.0717717326	0.008615372	0.0559722535	-0.0532304657	-0.1297613066	-0.0693151808	0.0884342103	-0.0248855779	-0.1425938892	0.0470368166	0.1226900263	0.2013277887	-0.1004088231	0.0207930929	-0.035543576	0.1735607691	-0.0077328954	0.0606405352	-0.1183557586	0.1144017065	0.1112164334	0.105973176	-0.0003273917254489	-0.0001252561226579	1.5689096263290897e-08	1.0718534189240793e-07	-0.0772629880542439	-0.0246032366890035	0.0006053192555751	0.0059695693230702	-0.0097188278027999	0.02493014329972	9.445561386047634e-05	0.0006215120449445	0.0007691407582874	0.0002969507637621	5.915775060589167e-07	8.817975609889451e-08	-0.0004177408023386	4.471249709999021e-08	1.745073779384973e-07	1.999207396916633e-15	0.0006741609597852	-0.0002329381133073	5.426016463121109e-08	4.544929996985021e-07	0.0	0.0	0.0	0.0	0.0
976320.8518779924	503.6086943692062	953202405811.7688	253621.7170442565	1471043.4012658228	4426.114517405164	19590489.72118474	2163968688407.7207	941984.362747408	-720.1176955704577	518569.49547370645	887334539660.6403	1002749.0461772736	1042677.3035822432	1.252333	26.312881	0.1152273492885086	0.0635486055126539	-0.0195457035	-0.0029359233	0.0833759164	0.0183652073	-0.1040429311	0.0534274313	-0.0806813211	-0.0257058941	0.0731137942	-0.059532591	-0.0069020442	-0.0814405686	-0.0882142788	0.0345285907	-0.0462057449	-0.1915845852	0.1577561912	0.0307848611	0.0458589613	0.0783696759	0.1802471635	0.064848763	-0.1315465513	-0.0078697436	-0.086059772	0.0148623881	-0.0528656875	-0.1017714394	-0.2793237633	0.1487624087	-0.0045404162	0.0620084211	0.0071240464	-0.0677430398	-0.0693130912	0.0489478169	0.0783948577	0.0271055229	0.1325346187	0.0418566287	-0.0065042906	0.0179392785	0.0531710433	0.0817406709	0.0478112768	-0.0406933973	-0.0653387038	-0.0851310886	0.0763519485	-0.1261185163	-0.067672183	0.114376147	0.0938594849	-0.1181469201	0.0356907016	0.0680582926	-0.0312486159	-0.1354502137	0.0514100452	0.1804782468	0.0517309696	-0.2362898262	0.0174332045	0.2257248276	-0.1489155158	0.1161789071	-0.0695987785	0.1513307388	-0.0640865341	-0.0836545338	0.0799034713	0.0421262612	-0.0363093947	0.0543810017	0.1072690705	-0.0626523286	-0.049492813	0.1718260458	-0.0225257207	-0.1144875345	0.0960706712	-0.0323942046	-0.0244058875	0.0755279981	-0.0323108607	-0.0701186235	-0.0940819927	0.140675552	0.1015984954	-0.0624208933	-0.0683921547	-0.1205756822	0.1884761726	0.1140484259	0.1098185471	0.1028845713	0.0140265552380753	0.0143539469635242	0.0002060357934316	0.0001967442518467	-0.0212299287136943	0.0560330593405496	0.0031397037390615	0.0004507098731885	-0.0397010664674297	-0.0299822386646297	0.0015761746786512	0.0008989346353428	0.0004721409638676	-0.0002969997944197	2.2291708976182642e-07	8.820887788540344e-08	-0.0004178407493726	-9.994703399998121e-08	1.7459089183625594e-07	9.989409605393395e-15	0.0006740986148429	-6.234494229998435e-08	3.886891830388376e-15	4.544089425331165e-07	0.0	0.0	0.0	0.0	0.0
977073.1872418908	752.3353638984263	954672013227.027	566008.4997721775	1459171.9370253163	-11871.464240506524	140931663.21362513	2129182741802.2136	941406.373645146	-577.9891022619558	334071.40233358165	886245960339.7043	1003651.3981879482	1048087.9122304992	1.232971	25.906061	0.0417109935708617	0.0297525551607641	0.0270179178	0.052251129	-0.0435924457	0.105635169	0.0710861064	0.1222213681	0.072320047	-0.0003093913	-0.1110677254	0.0334024904	-0.1244357571	-0.0142114438	0.0867858897	0.0765390715	0.0028962781	0.0887368586	0.0048546405	-0.0128505813	-0.0260134359	0.1244177684	0.0303753794	0.0224108814	0.1531440782	-0.0384313685	0.1879440279	0.1656949489	0.0480790924	-0.0305324061	-0.0100334869	-0.0138814979	0.0049991604	-0.019305737	-0.0580632502	-0.2126104472	-0.073943102	-0.0840374975	0.1102538233	0.1542463559	0.1748682648	0.0245822502	-0.0674890508	0.0274670652	-0.0775968608	-0.0970290536	-0.0612391557	-0.1579344197	-0.014553311	0.0571466773	0.0741476015	0.052881826	0.0797503104	-0.0044204055	-0.0251208291	-0.0442008861	0.0036564549	0.0648280859	0.0709033395	0.0126251427	-0.096614393	-0.0874004151	-0.1004384222	-0.074711535	0.2806862332	-0.0147028185	0.0375236876	0.0979179308	0.0742254414	0.1180865463	0.0864787931	0.0396408863	-0.0110246991	0.0900359854	-0.0363612642	0.0264668135	0.1301928323	0.0375546135	-0.0018099421	0.1418896063	-0.0071256586	-0.1466733014	-0.047978687	-0.0062387079	-0.0770267981	-0.0742472712	-0.0373601289	0.3092933482	0.0399993131	0.0875448443	0.1909098452	0.1364948034	0.167115755	-0.0820506741	-0.1046315578	0.1136451198	0.1082280018	0.0993899282	0.0174087649266994	0.0033822096886241	1.1439342377822738e-05	0.000303065096273	-0.0251663057212425	-0.0039363770075481	1.5495063945554116e-05	0.000633342943655	-0.0098111027675003	0.0298899636999293	9.625773751445204e-05	0.000893409929983	0.0005621408120938	8.99998482262e-05	3.16002292621477e-07	8.099972680739036e-09	-0.0004178105033099	3.0246062699985227e-08	1.7456561667607199e-07	9.148243088514376e-16	0.0006741173840492	1.8769206299958964e-08	3.5228310513041933e-16	4.544342474773366e-07	0.0	0.0	0.0	0.0	0.0
977008.839813152	-64.34742873883806	954546273073.0413	4140.591585299842	1465632.1507515823	6460.213726266054	41734361.38903634	2148077601316.709	942777.1154865692	1370.7418414232088	1878933.1958282893	888828689485.1759	1005083.1618801948	1044597.1669543362	1.132648	23.798176	0.1252011957459232	0.0724767228443682	0.0252993344	-0.0834310713	-0.0767335612	0.0706797732	-0.0906692165	-0.0192964875	-0.0365642301	-0.0337567876	0.0927880365	0.0781913223	0.0270905398	-0.0788696402	0.0031190572	0.0200984832	0.0953917798	-0.0014135187	0.0593075194	0.0247925595	0.0234793823	-0.1555772776	0.1195991121	-0.0471559456	0.0004429718	-0.0996839231	-0.1063960104	0.018362395	-0.0941786399	0.0363621172	-0.0204505025	-0.0109208732	0.1329949805	0.0441318634	0.137603074	-0.0284467149	0.1106195023	0.1092032217	0.2169291423	-0.0315883378	0.132711118	-0.060254835	0.1166649896	0.0412747372	-0.0273185668	0.1061412474	-0.0443872672	0.035632904	-0.0823577468	0.0010544803	0.0025945057	0.043572547	0.0416833506	0.0104224152	0.0855925731	0.0589567174	-0.0558307621	0.029676802	-0.2664112138	-0.2016733818	-0.1182544646	0.1186208361	0.0478955471	-0.0141558088	-0.0120736012	-0.0045792279	0.0350498014	-0.0266326752	-0.0921957497	0.1159446244	0.1264023456	-0.0211858935	0.0905574702	-0.048033576	-0.0727048267	0.0279038334	0.0213798133	-0.017547426	0.1086180349	-0.0155810546	0.0919321995	0.0121237335	-0.0568276369	-0.1118484722	0.020298815	0.0055033595	-0.0328269385	0.1278643001	0.0119437635	0.0624464139	-0.0254546291	-0.13286202	0.0404693158	-0.0188055303	-0.003470735	0.1131919653	0.1064475877	0.0955030384	0.0075266403733138	-0.0098821245533856	9.765638568862656e-05	5.6650315309197305e-05	-0.0864888323071113	-0.0613225265858688	0.0037604522668745	0.0074803181138476	-0.0428569534249092	-0.0330458506574089	0.0018367184568648	0.0010920282456717	0.0006700361719016	0.0001078953598077	4.489484716565505e-07	1.1641408668054618e-08	-0.0001067741460356	0.0003110363572743	1.1400718261631634e-08	9.674361554646598e-08	0.0006740352221461	-8.21619030999662e-08	6.750578321008236e-15	4.543234806935424e-07	0.0	0.0	0.0	0.0	0.0
